step,tokens_processed,train_loss,validation_loss,learning_rate,elapsed_seconds
1,2048,9.251792907714844,,0.0,0.8871001000079559
25,51200,6.081116676330566,,0.00048,3.4276956999965478
50,102400,4.507727146148682,,0.00098,6.0320417000039015
75,153600,3.900200366973877,,0.0009936701811850644,8.601726499997312
100,204800,3.9390339851379395,3.808253836631775,0.0009738107223610134,11.773647199996049
125,256000,3.667844295501709,,0.0009410167120174376,14.257123500006855
150,307200,3.612992763519287,,0.0008962890116095585,16.763670700005605
175,358400,3.3062000274658203,,0.0008409926945410236,19.396251800004393
200,409600,3.479546546936035,3.403530716896057,0.0007768153846123317,22.77517059999809
225,460800,3.226194143295288,,0.0007057157503466211,25.45442219999677
250,512000,3.3452494144439697,,0.0006298637271275605,27.829385500008357
275,563200,3.3029422760009766,,0.0005515742915482886,30.188068100003875
300,614400,3.156010150909424,3.1517475962638857,0.00047323680915456945,33.11300910000864
325,665600,3.102142810821533,,0.00039724211186374246,35.464970800006995
350,716800,2.952009677886963,,0.00032590953063053884,37.8160332999978
375,768000,3.257866382598877,,0.00026141611029667836,40.187373599997954
400,819200,3.13163423538208,3.005552649497986,0.00020573016696169588,43.054702099994756
425,870400,2.6981422901153564,,0.00016055121568025305,45.39517400000477
450,921600,3.0987296104431152,,0.00012725810187110811,47.73050710000098
475,972800,2.984692335128784,,0.00010686691944856941,50.068684400001075
500,1024000,2.7957663536071777,2.852657401561737,0.0001,52.93643190000148
